key;base;mobile;;;;;;;;;;;;;;;;;;;;;;
searchBox.clear;Effacer;Effacer;;;;;;;;;;;;;;;;;;;;;;
searchBox.placeholder;"Que cherchez-vous?
";"Que cherchez-vous?
";;;;;;;;;;;;;;;;;;;;;;
popularSearches.title;RECHERCHES POPULAIRES;RECHERCHES POPULAIRES;;;;;;;;;;;;;;;;;;;;;;
historyQueries.clear;Effacer tout;Effacer tout;;;;;;;;;;;;;;;;;;;;;;
historyQueries.removeLabel;"Supprimer {suggestion} de l'historique des requêtes
";"Supprimer {suggestion} de l'historique des requêtes
";;;;;;;;;;;;;;;;;;;;;;
historyQueries.title;"HISTORIQUE DES REQUÊTES
";"HISTORIQUE DES REQUÊTES
";;;;;;;;;;;;;;;;;;;;;;
myHistory.title;Mon historique;Mon historique;;;;;;;;;;;;;;;;;;;;;;
myHistory.subtitle;"Voici la liste complète des requêtes de l'historique
";"Voici la liste complète des requêtes de l'historique
";;;;;;;;;;;;;;;;;;;;;;
myHistory.message;" <span>Ces données sont stockées localement. Juste dans votre appereil et ne voyagent jamais en dehors de celui-ci</span><span>Vous pouvez désactiver les requêtes de l'historique quand vous le souhaitez.</span><span class=""x-font-color--neutral-10 x-font-weight--bold"">Votre privacité sous votre contrôle.</span>";" <span>Ces données sont stockées localement. Juste dans votre appereil et ne voyagent jamais en dehors de celui-ci</span><span>Vous pouvez désactiver les requêtes de l'historique quand vous le souhaitez.</span><span class=""x-font-color--neutral-10 x-font-weight--bold"">Votre privacité sous votre contrôle.</span>";;;;;;;;;;;;;;;;;;;;;;
myHistory.noHistory;"Aucune activité d'historique à afficher
";"Aucune activité d'historique à afficher
";;;;;;;;;;;;;;;;;;;;;;
myHistory.openButton;Mon historique;Mon historique;;;;;;;;;;;;;;;;;;;;;;
myHistory.switch.title;"Historique des requêtes
";"Historique des requêtes
";;;;;;;;;;;;;;;;;;;;;;
myHistory.switch.enable;Activer;Activer;;;;;;;;;;;;;;;;;;;;;;
myHistory.switch.disable;Désactiver et effacer;Désactiver et effacer;;;;;;;;;;;;;;;;;;;;;;
myHistory.confirmDisableModal.title;Désactiver historique des requêtes?;Désactiver historique des requêtes?;;;;;;;;;;;;;;;;;;;;;;
myHistory.confirmDisableModal.message;En désactivant l'historique des requêtes, vous effacez également toute la liste de l'historique.;En désactivant l'historique des requêtes, vous effacez également toute la liste de l'historique.;;;;;;;;;;;;;;;;;;;;;;
myHistory.confirmDisableModal.dismiss;Annuler;Annuler;;;;;;;;;;;;;;;;;;;;;;
myHistory.confirmDisableModal.confirm;Désactiver;Désactiver;;;;;;;;;;;;;;;;;;;;;;
identifierResults.title;Recherche SKU;Recherche SKU;;;;;;;;;;;;;;;;;;;;;;
recommendations.title;Top cliqué;Top cliqué;;;;;;;;;;;;;;;;;;;;;;
facets.facetCategories;Catégories;Catégories;;;;;;;;;;;;;;;;;;;;;;
facets.brand;Marque;Marque;;;;;;;;;;;;;;;;;;;;;;
facets.collection;Collection;Collection;;;;;;;;;;;;;;;;;;;;;;
facets.currentPrice;Prix;Prix;;;;;;;;;;;;;;;;;;;;;;
facets.previousPrice;Prix précédent;Prix précédent;;;;;;;;;;;;;;;;;;;;;;
facetsPanel.title;TRIER & FILTRER;TRIER & FILTRER;;;;;;;;;;;;;;;;;;;;;;
facetsPanel.viewResults;VOIR {totalResults} RÉSULTATS;VOIR {totalResults} RÉSULTATS;;;;;;;;;;;;;;;;;;;;;;
filters.all;Tout;Tout;;;;;;;;;;;;;;;;;;;;;;
filters.showMore;Afficher plus;Afficher plus;;;;;;;;;;;;;;;;;;;;;;
filters.showLess;Afficher moins;Afficher moins;;;;;;;;;;;;;;;;;;;;;;
partialResults.query;{query};{query};;;;;;;;;;;;;;;;;;;;;;
partialResults.totalResults;"{totalResults} résultats pour <span class=""x-text x-text--bold x-font-size--05"">{query}</span>"; {totalResults} results for;; ;;;;;;;;;;;;;;;;;;;;
partialResults.viewResults;Voir tous les résultats;View All;;;;;;;;;;;;;;;;;;;;;;
priceFilter.lessThan;moins que {max};moins que {max};;;;;;;;;;;;;;;;;;;;;;
priceFilter.fromTo;{min} - {max};{min} - {max};;;;;;;;;;;;;;;;;;;;;;
priceFilter.from;à partir de {min};à partir de {min};;;;;;;;;;;;;;;;;;;;;;
toggleAside.showAside;Trier & Filtrer;Trier & Filtrer;;;;;;;;;;;;;;;;;;;;;;
totalResults.message;"{totalResults} résultats pour <span class=""x-text x-text--bold x-font-size--05"">{query}</span>";  {totalResults} results;; ;;;;;;;;;;;;;;;;;;;;
sort.label;Trier par;Trier par;;;;;;;;;;;;;;;;;;;;;;
sort.values.__name asc;A-Z;A-Z;;;;;;;;;;;;;;;;;;;;;;
sort.values.__name desc;Z-A;Z-A;;;;;;;;;;;;;;;;;;;;;;
sort.values.rating;Rating;Rating;;;;;;;;;;;;;;;;;;;;;;
sort.values.default;Pértinence;Pértinence;;;;;;;;;;;;;;;;;;;;;;
selectedFilters.clear;EFFACER {selectedFiltersNumber} FILTRES;EFFACER {selectedFiltersNumber} FILTRES;;;;;;;;;;;;;;;;;;;;;;
result.addToCart;AJOUTER AU PANIER;AJOUTER AU PANIER;;;;;;;;;;;;;;;;;;;;;;
spellcheck.heading;Aucun résultat trouvé pour ;Aucun résultat trouvé pour ;;;;;;;;;;;;;;;;;;;;;;
spellcheck.message;On vous montre des résultats pour;On vous montre des résultats pour;;;;;;;;;;;;;;;;;;;;;;
noResults.message;"<span>Désolé, mais il n'y a pas de résultats pour <span class=""x-text x-font-color--neutral-10 x-text--bold"">""{query}""</span></span>Vous pourriez être intéressé par ces produits";"<span>Désolé, mais il n'y a pas de résultats pour <span class=""x-text x-font-color--neutral-10 x-text--bold"">""{query}""</span></span>Vous pourriez être intéressé par ces produits";;;;;;;;;;;;;;;;;;;;;;
columnPicker.message;Voir;Voir;;;;;;;;;;;;;;;;;;;;;;
queryPreview.viewResults;Voir tous les résultats;View All;;;;;;;;;;;;;;;;;;;;;;
