key;base;mobile;;
searchBox.clear;Limpar;Limpar;;
searchBox.placeholder;O que está procurando?;O que está procurando?;;
popularSearches.title;PESQUISAS POPULARES;PESQUISAS POPULARES;;
historyQueries.clear;Limpar tudo;Limpar tudo;;
historyQueries.removeLabel;Eliminar {suggestion} do histórico de consultas;Eliminar {suggestion} do histórico de consultas;;
historyQueries.title;HISTÓRICO DE CONSULTAS;HISTÓRICO DE CONSULTAS;;
myHistory.title;Meu histórico;Meu histórico;;
myHistory.subtitle;Esta é a lista completa de histórico de consultas;Esta é a lista completa de histórico de consultas;;
myHistory.message;"<span>Esta informação é armazenada localmente. Mantenha em seu dispositivo e nunca deixe que que vá para fora dele.</span><span>Pode desativar o histórico de consultas sempre que desejar.</span><span class=""x-font-color--neutral-10 x-font-weight--bold"">Sua privacidade sobre seu controlo.</span>";"<span>Esta informação é armazenada localmente. Mantenha em seu dispositivo e nunca deixe que que vá para fora dele.</span><span>Pode desativar o histórico de consultas sempre que desejar.</span><span class=""x-font-color--neutral-10 x-font-weight--bold"">Sua privacidade sobre seu controlo.</span>";;
myHistory.noHistory;Não há atividade no histórico para mostrar;Não há atividade no histórico para mostrar;;
myHistory.openButton;Meu histórico;Meu histórico;;
myHistory.switch.title;Histórico de consultas;Histórico de consultas;;
myHistory.switch.enable;Ativar;Ativar;;
myHistory.switch.disable;Desativar e limpar;Desativar e limpar;;
myHistory.confirmDisableModal.title;Desativar o histórico de consultas?;Desativar o histórico de consultas?;;
myHistory.confirmDisableModal.message;Desativando o histórico de consultas também irá limpar toda a lista do histórico.;Desativando o histórico de consultas também irá limpar toda a lista do histórico.;;
myHistory.confirmDisableModal.dismiss;Cancelar;Cancelar;;
myHistory.confirmDisableModal.confirm;Desativar;Desativar;;
identifierResults.title;Procurar SKU;Procurar SKU;;
recommendations.title;Os mais clicados;Os mais clicados;;
facets.facetCategories;Categorias;Categorias;;
facets.brand;Marca;Marca;;
facets.collection;Coleção;Coleção;;
facets.currentPrice;Preço;Preço;;
facets.previousPrice;Preço anterior;Preço anterior;;
facetsPanel.title;ORGANIZAR E FILTRAR;ORGANIZAR E FILTRAR;;
facetsPanel.viewResults;VER {totalResults} RESULTADOS;VER {totalResults} RESULTADOS;;
filters.all;Tudo;Tudo;;
filters.showMore;Mostrar mais;Mostrar mais;;
filters.showLess;Mostrar menos;Mostrar menos;;
partialResults.query;{query};{query};;
partialResults.totalResults;"{totalResults} resultados para <span class=""x-text x-text--bold x-font-size--05"">{query}</span>";"{totalResults} resultados para <span class=""x-text x-text--bold x-font-size--05"">{query}</span>";;
partialResults.viewResults;Ver todos os resultados;Ver todos os resultados;;
priceFilter.lessThan;menos que {max};menos que {max};;
priceFilter.fromTo;{min} - {max};{min} - {max};;
priceFilter.from;de {min};de {min};;
toggleAside.showAside;Organizar e Filtrar;Organizar e Filtrar;;
totalResults.message;"{totalResults} resultados para <span class=""x-text x-text--bold x-font-size--05"">{query}</span>";"{totalResults} resultados para <span class=""x-text x-text--bold x-font-size--05"">{query}</span>";;
sort.label;Organizar por;Organizar por;;
sort.values.__name asc;A-Z;A-Z;;
sort.values.__name desc;Z-A;Z-A;;
sort.values.rating;Valoração;Valoração;;
sort.values.default;Relevância;Relevância;;
selectedFilters.clear;LIMPAR {selectedFiltersNumber} FILTROS;LIMPAR {selectedFiltersNumber} FILTROS;;
result.addToCart;ADICIONAR AO CARRINHO;ADICIONAR AO CARRINHO;;
spellcheck.heading;Não foram encontrados resultados para;Não foram encontrados resultados para;;
spellcheck.message;Mostrando os resultados para;Mostrando os resultados para;;
noResults.message;"<span>Desculpe, não há resultados para <span class=""x-text x-font-color--neutral-10 x-text--bold"">""{query}""</span></span>Talvez esteja interessado nestes produtos";"<span>Desculpe, não há resultados para <span class=""x-text x-font-color--neutral-10 x-text--bold"">""{query}""</span></span>Talvez esteja interessado nestes produtos";;
columnPicker.message;Vista;Vista;;
queryPreview.viewResults;Ver todos os resultados;Ver todos os resultados;;